check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-26 17:17:08.971365,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,1608,1608,9,0
2019-01-26 18:17:01.270766,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,1853,245,0,0
2019-01-26 19:17:06.539540,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,1956,103,0,0
2019-01-26 20:17:11.667231,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2012,56,0,0
2019-01-26 21:17:04.018052,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2043,31,0,0
2019-01-26 22:17:09.081938,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2058,15,0,0
2019-01-26 23:17:01.169778,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2080,22,0,0
2019-01-27 00:17:06.219572,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2085,5,0,0
2019-01-27 01:17:11.284823,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2089,4,0,0
2019-01-27 02:17:03.282323,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2096,7,0,0
2019-01-27 03:17:08.347563,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2097,1,0,0
2019-01-27 04:17:00.347153,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2099,2,0,0
2019-01-27 05:17:05.719131,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2101,2,0,0
2019-01-27 06:17:10.696363,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2102,1,0,0
2019-01-27 07:17:02.762737,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2104,2,0,0
2019-01-27 08:17:07.805892,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2105,1,0,0
2019-01-27 09:16:59.840285,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2107,2,0,0
2019-01-27 10:17:04.838814,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2112,5,0,0
2019-01-27 11:17:09.929286,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2115,3,0,0
2019-01-27 12:17:02.043632,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2119,4,0,0
2019-01-27 13:17:07.198656,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2119,0,0,0
2019-01-27 14:16:59.349984,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2120,1,0,0
2019-01-27 15:17:04.518358,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2124,4,0,0
2019-01-27 16:17:09.821621,13098346,9,0,2019-01-26 16:16:59, 윈도우가 점점 이상해지는군요..;;; ,2126,2,0,0
