,13087747,13087752,13087754,13087756,13087758,13087760,13087761,13087764,13087765,13087767,13092204,13092211,13092218,13092225,13092233,13092239,13100133,13100138,13100145,13100148,13100155,13100159,13103120,13103122,13103124,13103128,13103130,13103132,13103133,13103135,13103138,13103140,13106955,13106957,13106961,13106965,13106968,13110522,13110529,13110532,13110538,13110542,13110545,13110548,13110552,13114948,13114952,13114954,13114957,13114959,sum
0,996,416,426,474,1564,595,500,932,598,781,387,1066,1264,1070,546,932,773,448,1256,389,2183,459,1574,1505,743,1175,563,651,493,1093,716,1139,1668,564,899,921,973,294,395,515,574,824,537,1330,370,527,246,765,681,150,39940
1,457,182,167,170,791,255,203,416,266,485,79,302,404,388,278,329,215,115,450,213,1123,187,555,532,199,490,147,235,199,667,407,675,971,271,467,608,577,90,134,246,193,433,191,823,182,229,112,412,486,68,18074
2,499,151,188,166,1227,357,352,689,422,683,80,301,584,619,389,466,143,82,353,165,1073,161,578,535,188,630,149,196,156,890,372,1050,1321,228,455,910,890,71,159,249,211,671,245,1348,261,258,139,455,532,69,22366
3,783,240,368,250,3010,468,425,720,562,600,160,546,959,1088,604,731,120,82,367,166,1304,192,930,714,223,912,211,239,208,1328,450,1264,2215,365,616,1119,1081,80,299,457,274,889,324,1703,319,384,190,521,544,79,31683
4,738,206,293,205,4540,331,292,426,363,339,158,703,1221,1106,574,592,211,132,534,206,1942,281,1388,1021,264,1068,222,202,198,1222,433,951,2652,442,518,1009,922,116,327,511,244,748,271,1281,173,451,184,501,316,46,33074
5,2371,95,176,93,4138,155,120,168,139,119,98,331,760,653,287,271,270,123,565,162,1799,177,1012,676,164,710,114,92,53,497,179,333,1680,240,270,500,392,58,190,250,101,305,93,532,69,238,70,204,139,24,22255
6,2039,41,71,36,4702,58,42,67,29,39,39,156,290,220,103,103,187,98,430,82,1413,61,383,273,44,266,30,34,20,186,60,170,589,72,95,187,180,28,46,126,35,146,24,217,16,98,24,74,58,9,13796
7,1385,15,26,11,3601,10,18,32,26,38,16,72,120,108,55,69,96,48,280,49,1610,46,194,131,22,124,19,16,13,94,36,83,281,30,46,102,86,7,12,56,18,76,11,121,7,31,12,30,13,4,9406
8,1185,5,16,9,2933,20,15,16,8,19,7,37,65,67,41,45,51,27,176,37,1503,18,123,77,7,69,12,7,11,70,22,58,106,15,30,44,27,4,9,48,10,53,11,107,6,11,8,17,14,2,7278
9,1048,4,13,7,2882,11,20,11,7,17,6,28,43,36,43,35,32,13,58,22,4555,10,89,69,11,76,5,5,6,66,16,38,63,15,21,32,29,4,7,38,5,56,6,70,1,8,5,23,7,6,9678
10,830,7,12,3,2086,7,9,8,8,11,5,18,21,24,34,27,13,10,35,11,3635,2,69,42,4,32,6,4,3,21,6,27,60,7,15,20,24,3,3,40,6,24,3,47,6,7,6,7,6,1,7315
11,760,8,9,4,1692,11,9,10,2,10,8,20,18,19,26,17,5,6,21,10,3042,3,50,14,2,18,6,2,2,21,6,18,27,2,14,15,16,7,8,19,6,12,1,26,3,2,6,6,3,2,6024
12,69,2,8,8,203,6,9,7,6,8,5,13,12,10,5,16,15,5,27,9,201,5,35,26,2,21,5,3,5,17,4,9,24,5,6,14,17,1,2,10,3,10,4,9,2,3,1,6,5,1,899
13,28,7,6,4,72,2,6,2,3,4,2,6,11,11,11,19,9,6,17,9,48,7,21,26,2,29,4,6,5,12,5,12,35,2,4,10,10,2,4,6,2,3,3,5,1,3,6,5,4,2,519
14,18,2,8,2,86,7,7,2,5,9,2,7,17,11,7,14,9,4,12,10,38,4,29,17,4,16,3,2,1,7,3,3,11,3,5,5,3,2,6,7,2,7,4,7,3,4,3,4,1,2,445
15,27,8,9,3,78,4,3,4,5,6,3,7,6,5,11,10,3,1,11,9,34,3,20,12,2,6,0,2,1,5,3,5,24,1,3,6,4,2,3,3,3,2,2,3,3,1,2,3,3,2,376
16,22,8,4,2,87,7,4,3,5,6,5,5,6,4,12,9,3,1,9,5,26,5,25,20,2,6,3,3,1,6,3,7,14,5,4,5,5,2,5,3,1,4,4,2,2,2,2,7,1,1,383
17,26,1,4,3,84,1,1,4,4,3,2,4,10,10,5,8,5,3,6,6,30,1,33,11,4,11,5,3,2,9,4,2,12,2,5,7,5,1,1,1,2,2,4,4,3,6,2,3,2,2,369
18,25,3,6,2,91,4,2,3,2,7,5,5,2,1,15,5,1,2,2,7,24,4,22,9,0,7,1,3,1,4,3,3,3,2,4,3,5,4,1,3,3,3,2,6,2,2,1,4,1,1,321
19,20,3,5,1,85,7,2,0,1,4,2,9,7,4,11,5,3,4,3,6,37,4,32,10,2,5,5,1,1,7,4,3,7,8,1,2,4,4,1,3,5,1,2,4,2,4,1,2,4,1,349
20,11,5,8,3,42,4,3,1,7,4,2,1,3,2,13,3,2,1,5,4,31,1,13,15,0,3,2,2,2,5,4,5,6,0,2,1,3,1,3,1,2,5,3,3,3,2,1,0,1,1,245
21,13,5,6,3,26,3,4,4,3,4,3,5,3,3,7,5,2,4,3,6,18,3,13,20,4,8,7,5,3,4,2,1,10,3,4,5,9,1,3,2,3,2,2,3,1,4,4,4,4,3,267
22,5,2,6,2,12,2,2,4,3,5,2,2,2,2,6,6,2,0,3,4,10,4,12,9,0,4,3,4,4,5,1,6,8,2,1,3,2,2,1,2,2,1,2,1,1,3,1,1,1,1,169
23,9,4,4,2,16,1,0,3,2,4,2,2,3,1,5,6,2,2,4,6,6,0,9,6,1,1,4,1,3,2,2,1,2,1,1,2,3,1,7,2,1,3,1,2,1,0,2,4,2,1,150
