,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,394,414,326,305,258,348,276,426,619,484,684,443,374,719,549,445,398,427,412,492,422,346,328,351
1,7,27,33,49,80,102,65,50,28,16,17,9,5,12,10,25,12,17,19,19,10,9,5,10
2,2,5,5,16,46,61,30,35,12,10,6,6,1,7,3,4,5,5,5,7,2,3,3,9
3,0,3,13,28,40,51,13,33,7,6,0,13,2,1,3,8,3,1,2,2,1,0,1,0
4,1,9,19,40,45,81,20,23,4,4,1,5,0,3,1,2,11,0,0,0,1,2,0,1
5,4,14,33,38,40,68,35,23,0,2,0,8,0,3,0,2,16,1,0,0,0,0,0,0
6,2,13,23,24,45,34,24,24,1,2,0,6,1,1,0,8,1,0,1,1,1,1,0,1
7,1,14,19,34,64,53,25,24,0,1,0,0,2,0,0,14,0,0,0,0,1,0,2,0
8,0,2,17,37,56,15,21,14,2,2,0,2,0,1,1,6,1,0,0,0,3,1,0,6
9,0,8,4,21,58,22,16,9,1,2,-1,0,0,0,0,4,0,0,0,2,2,0,0,4
10,4,3,6,17,37,16,23,17,0,-1,1,1,0,0,0,3,0,0,0,1,1,0,1,3
11,3,7,6,11,28,17,21,20,0,2,0,1,1,0,0,0,0,0,0,0,4,2,0,4
12,1,1,0,6,5,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0
13,0,0,1,0,1,3,0,6,0,1,2,0,0,1,0,0,0,0,0,-2,4,0,1,3
14,1,1,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,1,0,1,2,2,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
16,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0
17,0,1,0,0,12,0,0,0,0,0,0,2,0,-1,2,1,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0
19,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
20,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
22,0,0,0,0,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
