,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,27,52,46,64,17,26,67,130,105,136,58,41,21,60,26,155,51,99,106,57,99,57,66,60
1,4,10,13,28,5,29,53,95,14,30,2,9,2,2,3,40,1,6,14,1,12,15,1,13
2,1,5,11,17,8,23,31,63,5,25,2,4,0,4,0,23,0,3,6,0,11,3,2,4
3,1,13,23,47,11,32,45,65,5,29,4,14,0,0,0,18,0,0,5,1,2,1,0,4
4,1,18,49,66,3,18,53,59,5,24,0,5,1,1,0,19,0,0,6,0,2,0,1,2
5,1,39,80,113,3,17,41,75,4,5,0,6,0,0,0,16,0,1,7,1,1,0,1,1
6,2,61,41,95,8,18,48,53,2,7,0,6,0,1,0,30,0,1,7,0,1,0,1,2
7,1,48,54,80,3,14,39,41,1,8,0,6,0,1,1,25,0,0,4,0,0,1,2,9
8,0,33,40,56,4,10,43,33,2,4,0,3,0,2,0,22,0,1,1,0,3,1,0,42
9,1,34,27,27,5,6,42,27,2,9,0,5,0,2,0,25,0,0,11,0,6,1,0,37
10,6,24,28,33,1,8,26,30,2,7,0,7,0,1,0,8,0,0,9,0,13,3,1,35
11,6,17,17,34,0,6,21,32,0,13,1,4,0,1,0,7,0,0,9,0,36,7,1,30
12,2,2,2,7,1,1,4,4,1,0,0,0,0,1,0,2,0,0,4,0,7,3,0,1
13,0,1,2,2,0,0,1,1,2,3,0,0,0,1,0,1,0,0,0,0,1,0,0,2
14,1,1,2,2,0,0,0,-1,1,1,0,0,0,0,0,0,0,1,1,0,3,1,0,1
15,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,0
16,1,0,4,2,0,0,2,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
17,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,1,1,0
18,0,0,2,1,0,0,1,2,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0
19,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,3
20,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
