,post_time,id,post_view,post_reply,post_symph,post_title
23,2019-01-24 00:02:19,13087379,1628,3,0, (종료) PS4 널널하네요 ㅎㅎ 무이자 12개월! 
23,2019-01-24 00:11:35,13087441,1477,4,0, ps4 프로 11번가에서 해피머니로 질렀네요 
23,2019-01-24 00:17:10,13087462,2015,4,0, 중고로운 나라 PS4프로 시작가는.. 
23,2019-01-24 00:22:17,13087474,233,0,0, 실패... 
23,2019-01-24 00:27:04,13087495,816,1,5, [아이즈원] 혹시 못보신 분도 있을수 있는 프듀 메보작댕 
23,2019-01-24 00:31:37,13087515,702,4,0, 뒤늦게보고 도전했으나 실패... 
23,2019-01-24 00:36:59,13087547,1309,0,0, 저는 플스프로 2테라를 샀다가 구매취소 ㅋㅋㅋㅋㅋㅋ 
23,2019-01-24 00:41:58,13087573,2136,5,3, 플스는 포기하고 스플래툰 외길인생!!!.jpg 
23,2019-01-24 00:45:13,13087580,4200,29,1, 저도 유튜버 입문해서 용돈이나 벌어보려 했는데요... 
23,2019-01-24 00:51:44,13087593,4353,18,0, ps4 pro 물량 있는 곳 알려드릴까요?(구형) 
23,2019-01-24 00:55:02,13087603,4496,7,0, 홍탁좌 하루5시간자네요 
23,2019-01-25 00:11:14,13091858,794,15,7, 정치는 장기와 같습니다. 
23,2019-01-25 00:21:36,13091886,1589,4,0, 이 루프트한자 카고기는 북한영공을 통과한건지... 
23,2019-01-25 00:31:47,13091907,5529,9,0, 절재절명의 장대높이뛰기 사고.gif 
23,2019-01-25 00:42:07,13091932,3105,12,4, [단독] '폭행 피해' 가이드 '56억 원 달라'..국제 소송 비화 
23,2019-01-25 00:51:35,13091956,893,6,0, J와 K의 진실공방 
23,2019-01-27 00:06:40,13099672,1321,3,0, 근데 스카이캐슬 20화 이야기 할게 있을까요? 
23,2019-01-27 00:17:22,13099722,1073,8,0, 예빈 ㅋㅋㅋㅋ 
23,2019-01-27 00:27:28,13099835,3021,11,0, 아무리 스포가 맞다고 해도 혜나가 염정아한테 저러는 건 이상하지 않나요? 
23,2019-01-27 00:36:58,13099893,3984,11,0, 스카이캐슬 20화 예고 
23,2019-01-27 00:47:09,13099939,2423,14,0, 구형 플스4 있는데 대란 첫날 또 프로 영입..결국 욕심인가 
23,2019-01-27 00:56:57,13099963,5108,18,0, 일본에선 여자력(power)이 유행이라네요 
23,2019-01-28 00:02:05,13102765,2259,8,0, 좀 있다 여친 잡으러 아니 모시러 나갑니다 
23,2019-01-28 00:07:02,13102792,1219,10,0, 현직 광저우 바이윈 공항 스얼 라운지입니다 
23,2019-01-28 00:12:08,13102812,1016,3,0, 생각해보니 영화 쿠르스크가 개봉했을텐데 글이 안 보임 
23,2019-01-28 00:17:07,13102825,1661,6,0, 템퍼 매트리스 알아보다 결국 삼분의일 매트리스로 질렀습니다 
23,2019-01-28 00:22:02,13102843,2069,7,3, 저널리즘 토크쇼 J 실망이네요 
23,2019-01-28 00:27:22,13102862,2173,18,0, 유튜브 수익이 조금 이해가 안되는 부분이 있습니다. 
23,2019-01-28 00:31:14,13102887,1074,22,0, 다들 행복하신가요 
23,2019-01-28 00:36:53,13102911,5685,20,0, 데이트 때매 잠을 못자겠어요.jpg 
23,2019-01-28 00:41:47,13102926,3935,12,0, 와... 과거 행적 밝혀진 것 중에 제일 충격적이네요 
23,2019-01-28 00:45:45,13102938,1862,5,0, 근데 스캐 김서형이 예서를 어떻게하려고 한건지 이해가... 
23,2019-01-28 00:51:55,13102956,1008,11,0, 가입일 쿨타임인가요 
23,2019-01-28 00:56:15,13102963,1546,2,1, AVOD의 상태가....? 
23,2019-01-29 00:07:14,13106641,1220,4,0, 클량 오징어분들 공식 티셔츠... 
23,2019-01-29 00:16:13,13106666,810,0,0, Organic dog shelter -_- 
23,2019-01-29 00:27:03,13106702,727,2,0, 일본보다 케이로스가 더 싫네요? 
23,2019-01-29 00:36:25,13106730,1284,12,0, 결과론이지만 일본축구 잘한다고 욕먹었는데.. 
23,2019-01-29 00:45:58,13106748,847,0,0, [아시안컵] 이란 2골 먹고 좀 멘탈 놨나보군요. 
23,2019-01-29 00:57:12,13106793,5097,5,1, 인생 2회차 .gif 
23,2019-01-30 00:01:42,13110246,1512,12,0, 내일 KT인터넷해지합니다. 
23,2019-01-30 00:07:02,13110260,250,5,0, KT 데이터 나눔합니다(종료) 
23,2019-01-30 00:11:50,13110271,4382,11,0, [상황종료] 동탄원룸 여성살해ㆍ도주 용의자 공개수배…보상금 500만원 
23,2019-01-30 00:17:04,13110284,1688,16,0, 니어 오토마타는... 제 스타일에 안맞네요... 
23,2019-01-30 00:22:22,13110297,1440,0,0, 유튜브에서 몇안되는 자체제작 채널 
23,2019-01-30 00:26:40,13110302,10305,38,27, 버닝썬 사건 경찰의 폭행 CCTV 영상이 나왔습니다 
23,2019-01-30 00:31:51,13110317,952,4,0, 인레이 충치치료한 치아가 1달이 지나도 시리면 -_- 
23,2019-01-30 00:37:28,13110332,1376,2,3, 나를 구속하는 것은 모두 파.괘.한.다.webm 
23,2019-01-30 00:42:03,13110346,569,0,0, 카타르 우승가나요 ㅎㅎ 
23,2019-01-30 00:51:55,13110370,2529,1,1, 축구) 추가골 쌤통이네요.. 
23,2019-01-24 01:00:54,13087608,4990,3,0, 왜 김정은이 레드벨벳 초대했었는지 알았...다는... 
23,2019-01-24 01:11:52,13087630,1647,4,0, 스포) 디씨 원더우먼이 영화에서 
23,2019-01-24 01:16:52,13087638,1498,10,0, 미세먼지 측정기가 고장났나봐요 
23,2019-01-24 01:27:06,13087653,2292,7,0, 플4 대란(?)이 오니 급 고민되네요.. 
23,2019-01-24 01:30:53,13087662,2342,35,0, 애플은 계속 페이스 아이디를 고수하는건 아니겠죠? 
23,2019-01-24 01:35:22,13087667,7225,10,0, 혀로 가버렷.gif 
23,2019-01-24 01:39:32,13087673,2316,8,4, 승태야 학교가자~~ 
23,2019-01-24 01:45:40,13087681,1166,7,0, 범블비를 보고 있는데 ... 
23,2019-01-24 01:50:57,13087684,5265,22,0, JM은 윾튜브 코인 탑승했다가 떡락이네요 
