,id,post_time,check_time,delta_time,view,reply,symph,title
1,13442516,2019-05-01 00:00:02,2019-05-01 06:00:04.247498,360.0374583,901,5,0, PC 하드웨어 환경이 단조로워 지면서 윈도가 더 강점을 발휘하는 듯 합니다. 
2,13442518,2019-05-01 00:00:51,2019-05-01 06:01:03.817401,360.21362335,904,8,0, [스포]왕겜 8-3 
3,13442520,2019-05-01 00:01:06,2019-05-01 06:02:03.333964,360.95556606666673,2047,13,1, 일본 새 시대가 시작되었군요. 
4,13442521,2019-05-01 00:01:26,2019-05-01 06:02:03.717801,360.62863001666665,2168,5,10, 24:00 을 기준으로 드디어 넘었군요. 
5,13442523,2019-05-01 00:02:03,2019-05-01 06:02:04.180513,360.01967521666666,1515,3,6, 토왜당 소멸 140만 돌파 
6,13442525,2019-05-01 00:02:12,2019-05-01 06:03:03.693033,360.86155055,2664,2,0, 야무지게 먹어야지.gif 
7,13442526,2019-05-01 00:02:14,2019-05-01 06:03:04.111703,360.83519505,1430,2,6, 140만 
8,13442528,2019-05-01 00:02:23,2019-05-01 06:03:04.548610,360.6924768333333,1133,8,4, 자한당 하는 꼬라지 보니까 
9,13442529,2019-05-01 00:02:26,2019-05-01 06:03:04.922742,360.64871236666664,1194,6,0, 강스포) 그러고보니 왕겜 시즌8 3화에선..... 
10,13442530,2019-05-01 00:02:36,2019-05-01 06:03:05.333081,360.48888468333337,1631,4,0, 우리동네 호수공원 ㅎ 
11,13442532,2019-05-01 00:02:46,2019-05-01 06:03:05.774892,360.3295815333333,1226,2,0, 즐거운 근로자의날!! 
12,13442533,2019-05-01 00:03:05,2019-05-01 06:03:06.191761,360.01986268333326,1654,2,0, 휴대용 모니터의 최고봉은 이겁니다 
13,13442534,2019-05-01 00:03:19,2019-05-01 06:04:03.589622,360.7431603666666,4192,11,1, 불나서 뒈질뻔 했네요 
14,13442535,2019-05-01 00:03:33,2019-05-01 06:04:04.003862,360.5167310333334,1633,13,0, 드디어 오픈 했습니다 
15,13442536,2019-05-01 00:03:51,2019-05-01 06:04:04.402849,360.22338081666663,664,0,0, 그램2018용으로 C to HDMI를 샀는데 불량인지 이상하네요 
16,13442537,2019-05-01 00:04:51,2019-05-01 06:05:03.794735,360.2132455833333,888,1,5, 독립군과 토착왜구의 대결장 
17,13442539,2019-05-01 00:04:59,2019-05-01 06:05:04.266672,360.0877778666667,2369,21,0, 피자만 먹으면 ㅍㅍㅅㅅ 
18,13442542,2019-05-01 00:05:20,2019-05-01 06:06:03.938565,360.73230941666674,1569,3,0, 소확행 
19,13442545,2019-05-01 00:06:26,2019-05-01 06:07:03.610163,360.62683605,752,7,6, 71년 만의 여순사건 재심…재판부 “희생자들 명예 회복하겠다” 
20,13442546,2019-05-01 00:06:28,2019-05-01 06:07:04.022169,360.6003694833333,3285,8,2, 국회의원과 에르메스벨트 
21,13442548,2019-05-01 00:07:26,2019-05-01 06:08:03.520544,360.6253424,785,1,0, 낚인거군요. 죄송요 꾸벅 
22,13442549,2019-05-01 00:08:02,2019-05-01 06:08:03.920515,360.0320085833334,2654,8,0, 구글 재팬은 바로 바뀌네요 
23,13442551,2019-05-01 00:08:23,2019-05-01 06:09:03.444830,360.6740805,1997,1,0, 기존에 외국인으로 알려진 트와이스 멤버들 고향과 본명 
24,13442552,2019-05-01 00:08:43,2019-05-01 06:09:03.879745,360.34799575,373,12,0, 공유경제를 포스트 모더니즘의 맥락으로 연결하는게 맞을까요? 
25,13442553,2019-05-01 00:08:49,2019-05-01 06:09:04.287159,360.2547859833333,425,3,6, [노래] 노동절 기념 인터내셔널가 듣고 갑시다. 
26,13442554,2019-05-01 00:09:08,2019-05-01 06:10:03.837246,360.93062076666666,2072,23,0, [스포] 엔드게임에서 혹시 이거 스포 맞나요?? 
27,13442555,2019-05-01 00:09:38,2019-05-01 06:10:04.264120,360.4377353333333,3729,28,1, 민주당과 지지율 차 6%P인데…'한국당 해산' 청원은 왜 8배일까 
28,13442556,2019-05-01 00:11:36,2019-05-01 06:12:03.751561,360.46252601666674,1666,12,0, (방콕)주말밤의 딸랏롯파이야시장 
